T2R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
190.68,185.895,190.296,234.369,262.505,317.469,290.899,246.41,234.753,180.45,220.319,263.842,219.866,197.132,176.903,164.783,169.452,160.863
188.544,185.769,188.342,228.594,259.113,312.284,284.545,250.114,228.697,178.293,219.233,261.372,219.394,197.076,178,169.839,167.9,157.369
181.751,185.189,189.866,231.396,261.958,316.534,291.497,242.96,233.975,185.061,223.334,265.317,225.646,198.238,174.487,166.949,166.003,159.995
192.879,190.19,189.647,236.447,263.926,320.76,289.476,240.019,240.972,185.248,227.279,266.604,230.384,199.704,176.966,167.414,167.319,158.396
192.466,186.911,192.616,224.613,258.405,314.581,290.438,247.832,255.228,191.023,224.515,267.39,227.321,197.968,177.053,166.257,167.681,154.521
189.03,184.787,183.485,226.456,256.714,310.067,288.219,252.529,261.066,199.077,234.942,270.176,224.298,201.853,175.258,167.075,167.296,160.518
189.453,180.869,186.814,222.463,256.82,310,289.983,247.928,270.978,212.871,239.709,266.155,229.874,198.924,173.689,166.741,166.722,157.117
178.389,175.897,184.079,225.472,257.772,311.208,293.108,255.965,273.128,224.392,246.291,261.469,228.538,198.455,175.342,167.533,167.656,157.093
176.401,175.611,183.991,222.583,260.624,314.185,283.653,251.521,280.997,235.749,241,269.839,226.159,195.267,177.658,165.133,166.013,153.973
176.709,174.602,183.947,221.781,260.675,314.047,299,252.726,278.706,233.096,245.242,272.833,226.465,200.883,175.246,167,168.432,156.8
175.98,176.495,182.336,217.083,254.669,306.457,292.993,259.832,269.134,222.312,239.037,269.707,224.697,202.501,173.973,166.252,165.681,158.526
174.554,174.44,182.555,217.541,261.746,314.182,291.681,261.471,256.547,213.836,227.451,261.331,228.588,194.035,175.88,170.199,167.817,156.988
173.69,172.253,181.735,224.424,263.084,312.707,296.74,252.987,252.297,208.666,217.586,259.73,222.869,199.123,174.231,167.502,167.694,153.77
175.7,174.734,182.083,223.141,260.868,315.428,288.931,255.146,244.847,204.99,214.853,261.812,227.169,198.141,175.412,170.685,167.1,159.665
181.424,176.553,184.252,221.581,257.621,310.507,289.701,257.027,244.822,198.283,212.021,265.531,221.121,194.463,173.851,169.937,167.162,157.13
